ID,DOSE,TIME,CONC,CPT
8,90,1,17726.22,Plasma
8,90,2,1158.228,Plasma
8,90,4,11031.56,Plasma
8,90,8,1352.7,Plasma
8,90,12,304.6157,Plasma
8,90,16,919.0101,Plasma
9,90,0,0,Brain
9,90,0.25,39.92703,Brain
9,90,0.5,7.434688,Brain
9,90,1,15.6094,Brain
9,90,2,28.22428,Brain
9,90,4,528.3447,Brain
9,90,8,156.2661,Brain
9,90,12,25.29859,Brain
9,90,16,10.18828,Brain
9,90,0,0,Fat
9,90,0.25,170.5504,Fat
9,90,0.5,2495.439,Fat
9,90,1,197.9142,Fat
9,90,2,2770.798,Fat
9,90,4,258.1489,Fat
9,90,8,798.5406,Fat
9,90,12,141.9819,Fat
9,90,16,287.4058,Fat
9,90,0,0,Heart
9,90,0.25,3218.256,Heart
9,90,0.5,457.7841,Heart
9,90,1,387.2234,Heart
9,90,2,986.1288,Heart
9,90,4,11375.76,Heart
9,90,8,1455.96,Heart
9,90,12,442.2951,Heart
9,90,16,216.8451,Heart
9,90,0,0,Intestine
9,90,0.25,167452.6,Intestine
9,90,0.5,118404.3,Intestine
9,90,1,16246.17,Intestine
9,90,2,2891.268,Intestine
9,90,4,35968.75,Intestine
9,90,8,5145.768,Intestine
9,90,12,3441.985,Intestine
9,90,16,855.3334,Intestine
9,90,0,0,Kidney
9,90,0.25,7899.356,Kidney
9,90,0.5,1560.94,Kidney
9,90,1,2134.031,Kidney
9,90,2,6574.192,Kidney
9,90,4,40271.23,Kidney
9,90,8,13819.57,Kidney
9,90,12,4732.73,Kidney
9,90,16,1824.252,Kidney
9,90,0,0,Liver
9,90,0.25,29428.97,Liver
9,90,0.5,3837.814,Liver
9,90,1,2925.688,Liver
9,90,2,5335.077,Liver
9,90,4,55415.96,Liver
9,90,8,11857.64,Liver
9,90,12,3028.947,Liver
9,90,16,1271.814,Liver
9,90,0,0,Lung
9,90,0.25,11547.86,Lung
9,90,0.5,1824.252,Lung
9,90,1,2220.081,Lung
9,90,2,12236.26,Lung
9,90,4,127525.6,Lung
9,90,8,45090.01,Lung
9,90,12,6694.662,Lung
9,90,16,3287.096,Lung
9,90,0,0,Muscle
9,90,0.25,645.3723,Muscle
9,90,0.5,97.06399,Muscle
9,90,1,150.9311,Muscle
9,90,2,309.7787,Muscle
9,90,4,4973.669,Muscle
9,90,8,1029.154,Muscle
9,90,12,136.4747,Muscle
9,90,16,184.1462,Muscle
9,90,0,0,Plasma
9,90,0.25,3665.714,Plasma
9,90,0.5,586.8585,Plasma
9,90,1,413.0382,Plasma
9,90,2,1266.651,Plasma
9,90,4,9809.658,Plasma
9,90,8,1996.351,Plasma
9,90,12,679.7921,Plasma
9,90,16,249.5439,Plasma
